Full Name,Date of Birth,Country,State,Religion,Caste,Family Income,School Name,10th Percentage,Higher Education,12th Percentage,Diploma Percentage,Graduation Percentage,Course Type,University,Institution State,Tuition Fee,Exam Fee,Living Type,Hostel Fee,Travel Fee,Father's Name,Mother's Name,Bank Name,Branch Name,Credit Score
Meera Agate,2004-12-03,India,Telangana,Hindu,General,160294,Bhavans,74,Graduation,,,90.0,PhD,BITS Pilani Hyderabad,Telangana,155790,4217,Day Scholar,0,3053,Krishna,Rajeshri,Axis Bank,Hyderabad,820
Kian Sunder,2005-05-03,India,Telangana,Muslim,ST,1039394,Bhavans,63,Graduation,,,79.0,PhD,Jawaharlal Nehru Technological University,Telangana,83302,7833,Hosteller,45958,0,Ronith,Amruta,Axis Bank,Hyderabad,786
Raj Bora,2006-11-15,India,Telangana,Other,ST,260976,Bhavans,82,12th,73.0,,,MBA,University of Hyderabad,Telangana,210684,7473,Day Scholar,0,2626,Jeremiah,Bhanumati,Bank of Baroda,Hyderabad,629
Sanya Dasgupta,2000-09-25,India,Telangana,Muslim,ST,1193391,Narayana,71,Graduation,,,69.0,MBA,mrecw,Telangana,242957,8793,Hosteller,45884,0,Advaith,Gauri,State Bank of India,Hyderabad,629
Meera Subramanian,2006-09-20,India,Telangana,Other,Other,712104,Narayana,60,Graduation,,,89.0,Vocational Training,mrecw,Telangana,249936,9646,Day Scholar,0,6885,Vihaan,Vrinda,HDFC Bank,Hyderabad,753
Riya Bakshi,2005-07-05,India,Telangana,Sikh,Other,737114,Oakridge International School,82,12th,63.0,,,Medical,University of Hyderabad,Telangana,279479,4046,Hosteller,13215,0,Indrajit,Upma,Axis Bank,Hyderabad,652
Saanvi Badal,2005-05-23,India,Telangana,Muslim,SC,1182132,Oakridge International School,77,Diploma,,90.0,,PhD,ICFAI Business School,Telangana,207768,7064,Day Scholar,0,5166,Imaran,Gaurangi,IDFC FIRST Bank,Hyderabad,819
Aarav Bakshi,2003-06-22,India,Telangana,Hindu,ST,1164327,Hyderabad Public School,77,12th,94.0,,,Vocational Training,Jawaharlal Nehru Technological University,Telangana,157028,3251,Hosteller,44349,0,Lakshit,Janya,IDFC FIRST Bank,Hyderabad,720
Arjun Kapoor,2003-12-16,India,Telangana,Hindu,OBC,960823,Oakridge International School,86,12th,92.0,,,Arts,ICFAI Business School,Telangana,57274,8816,Day Scholar,0,8345,Faris,Riya,Union Bank of India,Hyderabad,700
Raj Sharma,1999-11-02,India,Telangana,Other,SC,1134108,Oakridge International School,70,Graduation,,,84.0,Medical,mrecw,Telangana,256208,7296,Hosteller,28431,0,Kai,Neelima,State Bank of India,Hyderabad,601
Shreya Kant,2000-11-17,India,Telangana,Hindu,SC,100085,Sri Chaitanya,89,Diploma,,66.0,,PhD,University of Hyderabad,Telangana,265119,3443,Hosteller,43744,0,Charles,Yashvi,ICICI Bank,Hyderabad,804
sri Bhat,2004-10-28,India,Telangana,Sikh,Other,110685,Oakridge International School,81,12th,64.0,,,Arts,BITS Pilani Hyderabad,Telangana,295901,7967,Hosteller,11922,0,Qarin,Tara,HDFC Bank,Hyderabad,826
Nisha Ratta,2002-06-30,India,Telangana,Other,OBC,890991,Oakridge International School,91,Diploma,,76.0,,Arts,Jawaharlal Nehru Technological University,Telangana,263415,4625,Day Scholar,0,4449,Zayan,Aadhya,ICICI Bank,Hyderabad,733
Aditya Chaudhuri,2005-01-20,India,Telangana,Hindu,ST,94725,Bhavans,88,12th,68.0,,,Medical,BITS Pilani Hyderabad,Telangana,135198,8884,Day Scholar,0,8964,Ayushman,Ishita,Union Bank of India,Hyderabad,658
Riya Sethi,2003-05-27,India,Telangana,Other,ST,84951,Narayana,86,12th,93.0,,,PhD,ICFAI Business School,Telangana,251690,3335,Day Scholar,0,4409,Raghav,Nilima,Punjab National Bank,Hyderabad,600
Vivaan Roy,2004-04-20,India,Telangana,Christian,SC,60508,Narayana,86,Graduation,,,73.0,Engineering,mrecw,Telangana,283820,7691,Day Scholar,0,9367,Siddharth,Garima,Canara Bank,Hyderabad,615
Ananya Krish,2000-07-25,India,Telangana,Other,General,1062436,Delhi Public School,92,Graduation,,,90.0,Vocational Training,University of Hyderabad,Telangana,158453,7397,Day Scholar,0,4259,Ekaraj,Ira,ICICI Bank,Hyderabad,676
Priya Sinha,2004-06-04,India,Telangana,Sikh,General,269830,Delhi Public School,68,Diploma,,89.0,,Engineering,ICFAI Business School,Telangana,76305,6520,Day Scholar,0,9892,Vincent,Gayathri,ICICI Bank,Hyderabad,740
Raj Mitra,2000-04-03,India,Telangana,Other,OBC,1112925,Hyderabad Public School,79,12th,62.0,,,Arts,ICFAI Business School,Telangana,230329,1639,Day Scholar,0,3468,Jacob,Manya,Axis Bank,Hyderabad,693
Saanvi Sagar,2003-09-24,India,Telangana,Other,ST,178771,Hyderabad Public School,72,Diploma,,69.0,,Arts,Osmania University,Telangana,281934,4128,Hosteller,34437,0,Matthew,Odika,Axis Bank,Hyderabad,749
Nisha Samra,2002-08-01,India,Telangana,Other,ST,555571,Sri Chaitanya,75,Diploma,,89.0,,Law,Jawaharlal Nehru Technological University,Telangana,147784,2187,Day Scholar,0,7810,Balendra,Wishi,Bank of Baroda,Hyderabad,816
sri Nagi,2001-07-31,India,Telangana,Christian,ST,293257,Narayana,69,Graduation,,,88.0,Engineering,ICFAI Business School,Telangana,179207,3335,Day Scholar,0,7257,Yash,Chameli,Union Bank of India,Hyderabad,763
Aaditya Srinivasan,2000-11-04,India,Telangana,Sikh,SC,450171,Hyderabad Public School,83,Graduation,,,74.0,Arts,mrecw,Telangana,207231,8523,Hosteller,14465,0,Hitesh,Vasatika,Federal Bank,Hyderabad,607
Vihaan Kakar,2006-03-30,India,Telangana,Other,OBC,902021,Hyderabad Public School,79,Diploma,,58.0,,MBA,mrecw,Telangana,78293,2920,Hosteller,14032,0,Elijah,Barkha,Bajaj Finserv,Hyderabad,642
sri Basu,2003-02-23,India,Telangana,Sikh,ST,1111728,Hyderabad Public School,60,12th,78.0,,,Law,mrecw,Telangana,167520,1655,Day Scholar,0,5786,Tanveer,Yashasvi,Union Bank of India,Hyderabad,825
Rupa Kara,2003-10-31,India,Telangana,Sikh,OBC,341295,Bhavans,73,Graduation,,,65.0,Law,University of Hyderabad,Telangana,189994,5747,Hosteller,48094,0,Atharv,Gauri,State Bank of India,Hyderabad,807
Saanvi Behl,2002-06-18,India,Telangana,Sikh,SC,616380,Hyderabad Public School,61,Diploma,,56.0,,Law,Jawaharlal Nehru Technological University,Telangana,142364,4156,Day Scholar,0,8069,Charan,Ekanta,RBL Bank,Hyderabad,633
Reyansh Samra,2001-03-07,India,Telangana,Christian,OBC,922291,Bhavans,93,Diploma,,86.0,,Arts,Osmania University,Telangana,261005,5430,Day Scholar,0,6357,Jonathan,Darika,Punjab National Bank,Hyderabad,702
Rupa Korpal,2002-07-27,India,Telangana,Sikh,OBC,484323,Hyderabad Public School,92,12th,83.0,,,Vocational Training,ICFAI Business School,Telangana,109039,1357,Hosteller,46931,0,Krish,Sanaya,Canara Bank,Hyderabad,778
Kian Johal,2002-04-23,India,Telangana,Muslim,Other,357605,Delhi Public School,75,12th,91.0,,,Engineering,Osmania University,Telangana,250076,5531,Hosteller,20279,0,Oliver,Ekiya,Kotak Mahindra Bank,Hyderabad,809
Shreya Goswami,1999-12-28,India,Telangana,Christian,Other,1146444,Hyderabad Public School,67,12th,67.0,,,Arts,Jawaharlal Nehru Technological University,Telangana,99050,3125,Hosteller,16212,0,Wahab,Charvi,Bajaj Finserv,Hyderabad,766
Raj Shenoy,1999-10-12,India,Telangana,Hindu,General,508915,Hyderabad Public School,88,12th,81.0,,,Engineering,BITS Pilani Hyderabad,Telangana,119268,2801,Hosteller,24782,0,Ryan,Aishani,State Bank of India,Hyderabad,707
sri Banerjee,2000-08-12,India,Telangana,Hindu,Other,65787,Delhi Public School,91,12th,85.0,,,Medical,University of Hyderabad,Telangana,220124,7487,Hosteller,37588,0,Kalpit,Jasmit,RBL Bank,Hyderabad,753
Vivaan Narayan,2004-06-09,India,Telangana,Sikh,OBC,95938,Delhi Public School,85,12th,65.0,,,Medical,University of Hyderabad,Telangana,192500,6217,Day Scholar,0,3689,Chaitanya,Sneha,Bajaj Finserv,Hyderabad,664
Arjun Sarin,2002-09-05,India,Telangana,Sikh,ST,1173303,Hyderabad Public School,63,Graduation,,,55.0,Medical,University of Hyderabad,Telangana,208560,9765,Day Scholar,0,8171,Champak,Upadhriti,Axis Bank,Hyderabad,833
Aditya Tara,2001-09-06,India,Telangana,Muslim,OBC,504931,Delhi Public School,60,Graduation,,,51.0,Law,BITS Pilani Hyderabad,Telangana,265350,9751,Day Scholar,0,4463,Benjamin,Lekha,RBL Bank,Hyderabad,763
Kian Nazareth,2000-08-04,India,Telangana,Muslim,ST,440870,Oakridge International School,62,Diploma,,54.0,,Law,BITS Pilani Hyderabad,Telangana,250184,1910,Day Scholar,0,2593,Rayaan,Bhavani,IDFC FIRST Bank,Hyderabad,752
Arjun Mani,2006-12-06,India,Telangana,Hindu,Other,285533,Hyderabad Public School,69,Diploma,,79.0,,Arts,ICFAI Business School,Telangana,195590,1865,Day Scholar,0,5799,Frado,Raagini,Axis Bank,Hyderabad,619
Sanya Dube,2001-06-18,India,Telangana,Christian,Other,543597,Hyderabad Public School,77,12th,88.0,,,Medical,Osmania University,Telangana,289200,7492,Day Scholar,0,8525,Samuel,Lila,Canara Bank,Hyderabad,643
Priya Ramanathan,2005-04-02,India,Telangana,Other,Other,393708,Bhavans,68,12th,65.0,,,Engineering,University of Hyderabad,Telangana,210274,7404,Day Scholar,0,8726,Ayushman,Kritika,Bajaj Finserv,Hyderabad,644
Riya Rajan,2004-02-28,India,Telangana,Christian,ST,870441,Narayana,68,Diploma,,59.0,,Vocational Training,mrecw,Telangana,224590,3201,Hosteller,24700,0,Jonathan,Bina,IDFC FIRST Bank,Hyderabad,669
Ayaan Majumdar,2002-05-09,India,Telangana,Sikh,OBC,148761,Hyderabad Public School,79,12th,88.0,,,MBA,University of Hyderabad,Telangana,224242,6983,Day Scholar,0,4851,Krishna,Chaman,ICICI Bank,Hyderabad,638
Aanya Prakash,2002-09-02,India,Telangana,Christian,General,1100487,Oakridge International School,89,12th,67.0,,,Vocational Training,mrecw,Telangana,255249,9426,Hosteller,38637,0,Utkarsh,Saumya,RBL Bank,Hyderabad,813
Ayaan Venkataraman,1999-05-29,India,Telangana,Christian,ST,107266,Sri Chaitanya,70,12th,72.0,,,Medical,Osmania University,Telangana,56207,3212,Day Scholar,0,7538,Kalpit,Watika,Federal Bank,Hyderabad,656
Aarav Gour,2001-01-21,India,Telangana,Other,SC,351941,Sri Chaitanya,64,Graduation,,,72.0,Law,BITS Pilani Hyderabad,Telangana,252974,4809,Day Scholar,0,4761,Ayushman,Pahal,Kotak Mahindra Bank,Hyderabad,716
Kian Som,2002-05-12,India,Telangana,Muslim,Other,465429,Sri Chaitanya,94,Diploma,,86.0,,Law,Osmania University,Telangana,79899,3118,Hosteller,11480,0,Atharv,Pushti,Bank of India,Hyderabad,735
Priya Ramachandran,2001-09-21,India,Telangana,Other,SC,1084118,Bhavans,75,Graduation,,,85.0,PhD,Jawaharlal Nehru Technological University,Telangana,189144,3125,Day Scholar,0,2968,Xavier,Sneha,Federal Bank,Hyderabad,825
Sanya Prabhakar,2007-01-23,India,Telangana,Sikh,Other,656706,Narayana,68,12th,69.0,,,Engineering,Osmania University,Telangana,130653,9538,Day Scholar,0,3179,Robert,Lila,IDFC FIRST Bank,Hyderabad,637
Reyansh Kala,2004-03-30,India,Telangana,Sikh,ST,959155,Sri Chaitanya,64,12th,68.0,,,Law,Osmania University,Telangana,145004,2355,Day Scholar,0,9829,Balendra,Kashvi,Federal Bank,Hyderabad,761
Meera Walla,2004-09-04,India,Telangana,Muslim,ST,358358,Oakridge International School,86,Graduation,,,82.0,Vocational Training,Osmania University,Telangana,221922,5083,Hosteller,27946,0,Qadim,Yauvani,State Bank of India,Hyderabad,726
Ayaan Gour,2003-06-05,India,Telangana,Christian,Other,482964,Delhi Public School,84,Diploma,,56.0,,Engineering,ICFAI Business School,Telangana,129646,8553,Hosteller,26928,0,Lakshit,Tripti,IDFC FIRST Bank,Hyderabad,653
Sanya Kala,1999-03-29,India,Telangana,Other,ST,728440,Sri Chaitanya,67,Diploma,,82.0,,Engineering,BITS Pilani Hyderabad,Telangana,150092,2518,Hosteller,12416,0,Rudra,Vrishti,Punjab National Bank,Hyderabad,633
Ishaan Tripathi,2006-02-16,India,Telangana,Other,SC,560408,Delhi Public School,70,Graduation,,,72.0,Law,Osmania University,Telangana,63614,4754,Hosteller,43404,0,Balveer,Urishilla,HDFC Bank,Hyderabad,664
Nisha Balay,2001-10-14,India,Telangana,Christian,OBC,903785,Delhi Public School,74,Graduation,,,80.0,MBA,mrecw,Telangana,290374,1138,Hosteller,20011,0,Xavier,Pushti,HDFC Bank,Hyderabad,805
Shreya Kalita,2004-02-22,India,Telangana,Other,General,574590,Oakridge International School,95,12th,89.0,,,PhD,ICFAI Business School,Telangana,108960,7097,Day Scholar,0,9903,Rayaan,Urmi,Canara Bank,Hyderabad,625
Priya Wali,2001-07-04,India,Telangana,Christian,General,62109,Hyderabad Public School,72,12th,75.0,,,Arts,Osmania University,Telangana,90652,6340,Day Scholar,0,6271,Balveer,Bina,Punjab National Bank,Hyderabad,739
Kian Bora,2005-05-15,India,Telangana,Sikh,Other,871059,Sri Chaitanya,95,Diploma,,76.0,,Law,Osmania University,Telangana,291577,4254,Day Scholar,0,2100,Girindra,Jeevika,Federal Bank,Hyderabad,798
Shreya Seshadri,2002-04-14,India,Telangana,Other,General,801532,Bhavans,67,12th,72.0,,,Engineering,Osmania University,Telangana,229272,4153,Day Scholar,0,7009,Mason,Ishani,HDFC Bank,Hyderabad,683
Ayaan Ramesh,2002-09-19,India,Telangana,Other,OBC,1075166,Bhavans,85,Diploma,,52.0,,PhD,ICFAI Business School,Telangana,235070,9675,Hosteller,33959,0,Gavin,Chaitaly,Bank of India,Hyderabad,766
Vihaan Khalsa,2003-01-07,India,Telangana,Hindu,SC,1115627,Delhi Public School,64,Diploma,,53.0,,Vocational Training,Osmania University,Telangana,52137,7841,Hosteller,20345,0,Kai,Watika,Bajaj Finserv,Hyderabad,613
Isha Kapadia,2006-11-07,India,Telangana,Muslim,General,1142914,Hyderabad Public School,86,Graduation,,,71.0,MBA,Osmania University,Telangana,294154,2592,Hosteller,39394,0,Faris,Oviya,State Bank of India,Hyderabad,680
Shreya Palla,2002-08-06,India,Telangana,Other,SC,779567,Oakridge International School,83,Graduation,,,57.0,Vocational Training,ICFAI Business School,Telangana,278997,2431,Day Scholar,0,3290,Chatresh,Jeevika,Bajaj Finserv,Hyderabad,664
Ananya Upadhyay,2006-04-06,India,Telangana,Hindu,OBC,380004,Bhavans,91,Graduation,,,60.0,MBA,ICFAI Business School,Telangana,84748,7176,Day Scholar,0,8931,Tanish,Leena,Federal Bank,Hyderabad,645
Vihaan Srinivas,2006-11-26,India,Telangana,Sikh,OBC,550276,Delhi Public School,86,Diploma,,75.0,,Arts,BITS Pilani Hyderabad,Telangana,181396,6665,Day Scholar,0,2291,Simon,Hemangini,Bank of India,Hyderabad,768
Raj Sunder,2000-02-11,India,Telangana,Christian,Other,743168,Oakridge International School,91,Graduation,,,71.0,Medical,Osmania University,Telangana,289354,3555,Hosteller,48725,0,Hritik,Pavani,Federal Bank,Hyderabad,681
Aaditya Thaman,1999-08-18,India,Telangana,Sikh,Other,581217,Hyderabad Public School,74,Diploma,,76.0,,Law,BITS Pilani Hyderabad,Telangana,244621,7782,Hosteller,17859,0,Nakul,Xiti,Bank of Baroda,Hyderabad,743
Rupa Gulati,2002-07-04,India,Telangana,Other,OBC,987192,Oakridge International School,62,12th,80.0,,,Engineering,Osmania University,Telangana,195684,3501,Day Scholar,0,3412,Nakul,Sara,Punjab National Bank,Hyderabad,679
Raj Kaur,2002-04-22,India,Telangana,Hindu,OBC,1171696,Sri Chaitanya,83,Graduation,,,81.0,Medical,BITS Pilani Hyderabad,Telangana,148958,7103,Hosteller,15653,0,Amol,Bhavini,State Bank of India,Hyderabad,624
Ananya Dani,2000-02-20,India,Telangana,Other,ST,535367,Sri Chaitanya,67,12th,73.0,,,Arts,Jawaharlal Nehru Technological University,Telangana,128227,2900,Hosteller,46476,0,Jason,Gautami,Bajaj Finserv,Hyderabad,743
Meera Bath,2007-02-24,India,Telangana,Sikh,SC,384686,Bhavans,67,Graduation,,,69.0,Law,mrecw,Telangana,162646,8179,Day Scholar,0,3140,Atharv,Yashoda,Axis Bank,Hyderabad,694
Shreya Kale,2001-02-13,India,Telangana,Sikh,SC,968325,Bhavans,79,Graduation,,,69.0,Engineering,Osmania University,Telangana,55765,6237,Hosteller,34507,0,Guneet,Lekha,Canara Bank,Hyderabad,789
Ishaan Jhaveri,2002-11-13,India,Telangana,Hindu,SC,56650,Bhavans,82,12th,91.0,,,Engineering,ICFAI Business School,Telangana,221028,1332,Hosteller,37771,0,Krish,Aarna,Canara Bank,Hyderabad,798
sri Soni,2004-08-27,India,Telangana,Christian,OBC,615132,Sri Chaitanya,62,Graduation,,,69.0,Law,ICFAI Business School,Telangana,90395,5309,Day Scholar,0,2587,David,Eesha,Bajaj Finserv,Hyderabad,673
Raj Garg,2003-07-18,India,Telangana,Hindu,ST,959148,Delhi Public School,83,Diploma,,58.0,,Engineering,mrecw,Telangana,185503,6227,Day Scholar,0,3131,Lucky,Amruta,Axis Bank,Hyderabad,680
Meera Comar,2004-06-10,India,Telangana,Christian,Other,493914,Hyderabad Public School,79,12th,92.0,,,PhD,Osmania University,Telangana,119355,1902,Hosteller,20193,0,Laksh,Meghana,HDFC Bank,Hyderabad,698
sri Kadakia,1999-10-11,India,Telangana,Other,Other,377860,Oakridge International School,81,Diploma,,66.0,,PhD,mrecw,Telangana,92024,6347,Day Scholar,0,7833,Zehaan,Anamika,Federal Bank,Hyderabad,820
Aarav Chada,2002-05-19,India,Telangana,Sikh,ST,316723,Hyderabad Public School,93,12th,90.0,,,Law,Jawaharlal Nehru Technological University,Telangana,79063,3582,Day Scholar,0,2439,Gavin,Bhanumati,ICICI Bank,Hyderabad,659
Rupa Kade,2006-09-02,India,Telangana,Sikh,Other,673383,Hyderabad Public School,67,Diploma,,77.0,,Arts,mrecw,Telangana,265209,8053,Hosteller,14734,0,Vincent,Ekantika,Union Bank of India,Hyderabad,714
Reyansh Deo,2006-02-19,India,Telangana,Hindu,Other,879229,Delhi Public School,67,Graduation,,,89.0,Law,Jawaharlal Nehru Technological University,Telangana,57212,3821,Hosteller,15082,0,Ekaraj,Mahika,Bank of Baroda,Hyderabad,711
Shreya Mitra,2004-11-17,India,Telangana,Hindu,SC,518809,Bhavans,65,12th,80.0,,,Engineering,Osmania University,Telangana,160825,6499,Hosteller,34887,0,Farhan,Ekaja,State Bank of India,Hyderabad,773
Saanvi Radhakrishnan,2001-03-29,India,Telangana,Muslim,OBC,1000092,Oakridge International School,67,12th,91.0,,,Engineering,ICFAI Business School,Telangana,109888,5396,Day Scholar,0,6869,Anirudh,Eiravati,RBL Bank,Hyderabad,642
Ananya Gupta,2001-08-20,India,Telangana,Muslim,General,359647,Hyderabad Public School,82,12th,89.0,,,Engineering,mrecw,Telangana,217589,3348,Day Scholar,0,5426,Gagan,Irya,State Bank of India,Hyderabad,611
Raj Chopra,2000-07-15,India,Telangana,Other,ST,748187,Bhavans,93,12th,82.0,,,MBA,Jawaharlal Nehru Technological University,Telangana,182339,8223,Day Scholar,0,6256,Max,Jhalak,Kotak Mahindra Bank,Hyderabad,788
Meera Magar,1999-04-02,India,Telangana,Other,Other,853366,Narayana,74,Diploma,,74.0,,Vocational Training,Jawaharlal Nehru Technological University,Telangana,157549,2749,Day Scholar,0,3155,Jonathan,Gayathri,Axis Bank,Hyderabad,689
Priya Wali,2005-10-03,India,Telangana,Other,General,362970,Sri Chaitanya,76,Diploma,,61.0,,PhD,mrecw,Telangana,92224,9855,Hosteller,21949,0,Balvan,Darika,Federal Bank,Hyderabad,691
Ishaan Yohannan,1999-09-26,India,Telangana,Hindu,General,613324,Sri Chaitanya,71,Diploma,,66.0,,Vocational Training,BITS Pilani Hyderabad,Telangana,208619,3910,Hosteller,41709,0,Falan,Rachana,Bajaj Finserv,Hyderabad,845
Vivaan Tella,2002-08-12,India,Telangana,Sikh,Other,202269,Hyderabad Public School,62,Diploma,,89.0,,Medical,Jawaharlal Nehru Technological University,Telangana,249391,4877,Day Scholar,0,2150,Siddharth,Xalak,RBL Bank,Hyderabad,837
Nisha Sengupta,2000-05-05,India,Telangana,Other,Other,978449,Sri Chaitanya,86,Graduation,,,54.0,Arts,mrecw,Telangana,55019,6974,Day Scholar,0,4021,Victor,Anvi,Bajaj Finserv,Hyderabad,623
Vihaan Sabharwal,2005-09-19,India,Telangana,Sikh,ST,734490,Oakridge International School,82,Graduation,,,68.0,Engineering,Osmania University,Telangana,187504,3555,Hosteller,36008,0,Ekansh,Yoshita,RBL Bank,Hyderabad,636
Priya Prashad,2005-03-28,India,Telangana,Muslim,SC,220076,Oakridge International School,79,12th,61.0,,,Vocational Training,mrecw,Telangana,164256,8009,Day Scholar,0,6976,Nitesh,Yashodhara,Kotak Mahindra Bank,Hyderabad,707
Priya Choudhury,2005-04-24,India,Telangana,Other,Other,1053847,Delhi Public School,66,Diploma,,63.0,,Arts,ICFAI Business School,Telangana,292723,3506,Day Scholar,0,9883,Henry,Kashish,Axis Bank,Hyderabad,631
Sanya Bora,2002-08-16,India,Telangana,Other,OBC,124374,Narayana,67,Diploma,,57.0,,Vocational Training,ICFAI Business School,Telangana,231781,3873,Hosteller,40473,0,Praneel,Yashasvi,Punjab National Bank,Hyderabad,683
Aaditya Mistry,2006-05-22,India,Telangana,Hindu,OBC,1160612,Sri Chaitanya,73,12th,70.0,,,Vocational Training,mrecw,Telangana,276673,5070,Hosteller,20455,0,Atharv,Vedhika,Federal Bank,Hyderabad,614
Vivaan Nath,2003-01-23,India,Telangana,Muslim,OBC,500784,Bhavans,67,Diploma,,87.0,,Vocational Training,Jawaharlal Nehru Technological University,Telangana,137529,8694,Hosteller,40381,0,Chanakya,Yahvi,Bank of India,Hyderabad,719
Nisha Khalsa,2001-03-19,India,Telangana,Other,ST,668568,Oakridge International School,89,Diploma,,77.0,,MBA,BITS Pilani Hyderabad,Telangana,263434,5147,Hosteller,25784,0,Reyansh,Nitara,Punjab National Bank,Hyderabad,759
Vihaan Borah,1999-07-07,India,Telangana,Other,General,334433,Bhavans,69,Graduation,,,82.0,Law,Osmania University,Telangana,185151,1789,Day Scholar,0,7284,Saksham,Brinda,Bajaj Finserv,Hyderabad,827
Isha Seth,2005-10-04,India,Telangana,Other,Other,915114,Bhavans,63,Diploma,,50.0,,Arts,BITS Pilani Hyderabad,Telangana,248772,2766,Day Scholar,0,4771,Max,Warhi,Bajaj Finserv,Hyderabad,745
Aanya Dani,2006-08-26,India,Telangana,Sikh,General,180792,Bhavans,70,Graduation,,,56.0,PhD,BITS Pilani Hyderabad,Telangana,205794,1915,Hosteller,20876,0,Rushil,Zilmil,Kotak Mahindra Bank,Hyderabad,827
Meera Chad,2004-04-16,India,Telangana,Hindu,SC,1035305,Oakridge International School,93,12th,66.0,,,PhD,ICFAI Business School,Telangana,298076,1197,Hosteller,33958,0,Chaitanya,Mekhala,Bajaj Finserv,Hyderabad,601
Arjun Singhal,2006-06-25,India,Telangana,Hindu,OBC,157563,Hyderabad Public School,70,Graduation,,,90.0,Medical,BITS Pilani Hyderabad,Telangana,147375,3263,Hosteller,32562,0,Fitan,Unni,Kotak Mahindra Bank,Hyderabad,722
Rupa Chada,2004-01-27,India,Telangana,Hindu,ST,129768,Oakridge International School,66,12th,64.0,,,Arts,Osmania University,Telangana,243451,1424,Hosteller,35057,0,Pranit,Chanchal,HDFC Bank,Hyderabad,822
Vihaan Nagar,2000-11-02,India,Telangana,Sikh,ST,432238,Delhi Public School,72,12th,71.0,,,MBA,BITS Pilani Hyderabad,Telangana,83752,4904,Day Scholar,0,9952,Abdul,Widisha,RBL Bank,Hyderabad,751
Nisha Tailor,2000-07-23,India,Telangana,Sikh,ST,705140,Delhi Public School,82,Graduation,,,68.0,Vocational Training,University of Hyderabad,Telangana,79090,4822,Day Scholar,0,4318,Oliver,Oviya,IDFC FIRST Bank,Hyderabad,719
Nisha Chakraborty,2006-03-19,India,Telangana,Hindu,Other,144035,Delhi Public School,67,Graduation,,,67.0,MBA,ICFAI Business School,Telangana,294160,3246,Hosteller,24269,0,Rachit,Indali,HDFC Bank,Hyderabad,612
Aarav Thakur,2003-02-17,India,Telangana,Sikh,SC,486385,Bhavans,75,Graduation,,,53.0,Law,Osmania University,Telangana,137035,5142,Day Scholar,0,3199,Aadi,Vedhika,HDFC Bank,Hyderabad,796
Aanya Mohan,2004-01-20,India,Telangana,Other,SC,242389,Oakridge International School,60,Graduation,,,88.0,Vocational Training,Jawaharlal Nehru Technological University,Telangana,57167,2042,Hosteller,26646,0,Wridesh,Nilima,HDFC Bank,Hyderabad,634
Saanvi Shanker,2002-03-26,India,Telangana,Sikh,OBC,498019,Narayana,93,Graduation,,,69.0,Engineering,BITS Pilani Hyderabad,Telangana,178870,7633,Hosteller,13722,0,Charles,Yamini,Federal Bank,Hyderabad,832
Aaditya Dhillon,2004-12-19,India,Telangana,Muslim,General,355327,Delhi Public School,76,Diploma,,73.0,,Engineering,ICFAI Business School,Telangana,138613,7518,Day Scholar,0,7653,Karan,Nikita,Bank of Baroda,Hyderabad,662
Saanvi Upadhyay,2003-04-02,India,Telangana,Hindu,General,1132693,Hyderabad Public School,62,Graduation,,,52.0,Arts,ICFAI Business School,Telangana,84568,3385,Hosteller,17502,0,Krishna,Divya,Punjab National Bank,Hyderabad,689
Ayaan Muni,1999-04-17,India,Telangana,Muslim,SC,81088,Sri Chaitanya,65,Diploma,,69.0,,PhD,Osmania University,Telangana,241755,2979,Day Scholar,0,5630,Kalpit,Ira,State Bank of India,Hyderabad,725
Vihaan Gade,1999-04-04,India,Telangana,Muslim,Other,584484,Hyderabad Public School,75,Diploma,,62.0,,Law,mrecw,Telangana,215783,9166,Hosteller,24709,0,Liam,Ekantika,Punjab National Bank,Hyderabad,745
Ananya Cherian,2001-09-12,India,Telangana,Christian,General,81436,Delhi Public School,65,Graduation,,,56.0,MBA,mrecw,Telangana,274314,5457,Day Scholar,0,9424,Tejas,Zarna,Canara Bank,Hyderabad,783
Kian Oommen,2004-05-08,India,Telangana,Hindu,OBC,422968,Sri Chaitanya,89,Graduation,,,62.0,Arts,Osmania University,Telangana,67050,5155,Day Scholar,0,2714,Baljiwan,Yauvani,Bank of Baroda,Hyderabad,604
sri Kapoor,2001-06-01,India,Telangana,Other,SC,973517,Delhi Public School,65,Graduation,,,76.0,Vocational Training,BITS Pilani Hyderabad,Telangana,144523,4557,Hosteller,17376,0,Onkar,Yashoda,Canara Bank,Hyderabad,651
Raj Pau,2003-09-03,India,Telangana,Christian,General,127639,Delhi Public School,78,Diploma,,60.0,,Engineering,University of Hyderabad,Telangana,131188,4711,Day Scholar,0,5343,Amol,Vamakshi,Bank of India,Hyderabad,758
Ananya Rao,2001-09-19,India,Telangana,Other,SC,999212,Bhavans,67,Diploma,,52.0,,Engineering,Osmania University,Telangana,184334,3732,Hosteller,22843,0,Tanish,Vinaya,Axis Bank,Hyderabad,693
Aditya Mukhopadhyay,2005-03-18,India,Telangana,Hindu,OBC,1032538,Hyderabad Public School,91,Diploma,,80.0,,MBA,Jawaharlal Nehru Technological University,Telangana,279753,9082,Day Scholar,0,9546,Jeet,Manya,Canara Bank,Hyderabad,630
